NAME      z_mean      z_MAP       z_median    z_mode      z_16th      z_84th      z_std       z_R^2 a_mean  a_MAP   a_median a_mode  a_16th  a_84th  a_std     a_R^2 E_mean   E_MAP    E_median E_mode   E_16th   E_84th   E_std      E_R^2 d_mean  d_MAP   d_median d_mode  d_16th  d_84th  d_std     d_R^2 M_mean  M_MAP   M_median M_mode  M_16th  M_84th  M_std   M_R^2 b_mean   b_MAP     b_median b_mode    b_16th    b_84th   b_std    b_R^2 Nt
rup152_09 0.000654274 0.00103768  0.00061467  0.000473659 0.000263331 0.000987014 0.000660729 0.35  8.78341 8.73176 8.771    8.75016 8.72812 8.8632  0.0730948 0.96  0.756505 0.779411 0.761649 0.770993 0.727155 0.786317 0.0309353  0.91  14.0817 14.0124 14.0678  14.0338 14.018  14.1577 0.0597102 0.92  2004.2  1538.2  1839.84  1652.54 1417.54 2619.13 639.729 0.92  0.275423 0.324102  0.288505 0.327628  0.0985396 0.424605 0.153256 0.98  3.10E+00
rup152_01 0.00175492  0.00146918  0.00171121  0.00182705  0.00132699  0.00198262  0.00130578  0.16  8.66525 8.68453 8.73597  8.75824 8.38949 8.84411 0.191102  0.91  0.758234 0.721879 0.763627 0.767007 0.736916 0.785402 0.0411626  0.54  14.1403 14.0002 14.1533  14.1741 14.0892 14.1865 0.0485048 0.9   965.547 937.614 936.849  853.066 742.019 1198.84 213.262 0.98  0.0      0.0       0.0      0.0       nan       nan      nan      nan   3.10E+00
rup152_07 0.000562326 0.000575663 0.000463724 0.000364506 0.00021788  0.000945942 0.000396337 0.85  8.81351 8.82453 8.81526  8.80626 8.76063 8.86999 0.0680514 0.97  0.744981 0.737528 0.750733 0.757394 0.707891 0.774792 0.0310889  0.97  14.0945 14.1047 14.0903  14.0559 14.0316 14.1626 0.055739  0.96  1565.97 1576.86 1594.81  1613.77 1263.46 1788.64 269.268 0.98  0.0      0.0       0.0      0.0       nan       nan      nan      nan   3.10E+00
rup152_04 0.00243414  0.00117221  0.00214778  0.0016723   0.0014042   0.00379276  0.00106529  0.91  8.66782 8.72741 8.66716  8.65224 8.59105 8.73682 0.0770585 0.99  0.718258 0.711949 0.715539 0.710205 0.690342 0.750371 0.0297682  0.99  14.0861 14.0391 14.0742  14.0295 14.0188 14.1647 0.0617568 0.92  1432.86 1347.95 1421.32  1382.39 1195.43 1663.98 236.025 1.0   0.0      0.0       0.0      0.0       nan       nan      nan      nan   3.10E+00
rup152_06 0.00107346  0.000716819 0.000881297 0.000867983 0.000649625 0.00124317  0.000725279 0.71  8.72108 8.69968 8.70991  8.70552 8.65261 8.82921 0.080525  0.94  0.755878 0.764483 0.758894 0.780574 0.723331 0.788518 0.0294269  0.96  14.0785 14.0223 14.0666  14.036  14.0205 14.1484 0.0558391 0.93  3481.79 3108.79 3224.33  3076.73 1850.64 4891.16 1640.39 0.93  0.655658 0.707336  0.736349 0.785285  0.362523  0.881841 0.253282 0.9   3.10E+00
rup152_02 0.00169626  0.00224286  0.00151316  0.00140788  0.00113549  0.00233193  0.00171312  0.33  8.64426 8.48294 8.72333  8.78966 8.4498  8.81561 0.199461  0.93  0.744491 0.751759 0.746098 0.740373 0.719256 0.784956 0.0525846  0.56  14.1438 14.1754 14.1528  14.1775 14.1009 14.1883 0.0443316 0.92  1733.77 1392.19 1695.52  1601.06 1432.13 2039.97 299.365 0.99  0.3      0.3       0.3      0.3       nan       nan      nan      nan   3.10E+00
rup152_05 0.00178813  0.00179834  0.00180817  0.00178552  0.0016074   0.00201484  0.000290757 0.8   8.61268 8.59456 8.60519  8.60076 8.58995 8.63685 0.0349716 0.72  0.773357 0.780646 0.778633 0.785048 0.757844 0.791141 0.0207575  0.86  14.1173 14.1294 14.1178  14.1105 14.0697 14.1711 0.0473543 0.98  2070.85 1873.07 2061.88  2093.53 1816.51 2273.83 267.777 0.96  0.3      0.3       0.3      0.3       nan       nan      nan      nan   3.10E+00
rup152_08 0.00146099  0.00181526  0.00168014  0.00183306  0.000574646 0.00196215  0.000778841 0.56  8.61271 8.57389 8.57299  8.562   8.54017 8.73066 0.0888336 0.84  0.756789 0.738246 0.758093 0.754422 0.732029 0.782067 0.025328   0.94  14.1211 14.1314 14.1256  14.177  14.0543 14.1844 0.0564902 0.94  1620.48 1065.97 1428.88  1242.32 1115.75 2229.71 561.96  0.87  0.3      0.3       0.3      0.3       nan       nan      nan      nan   3.10E+00
rup41_04  0.00923365  0.00382298  0.00851249  0.00863153  0.00373963  0.0173219   0.00550072  0.93  9.2913  9.27381 9.2823   9.25592 9.23574 9.42002 0.172469  0.65  0.421358 0.428583 0.431374 0.439344 0.373244 0.459611 0.0432657  0.92  12.916  12.8786 12.9264  12.9712 12.8413 12.9804 0.0597309 0.93  1566.8  1560.84 1370.99  1110.56 955.352 2175.78 718.042 0.91  0.0      0.0       0.0      0.0       nan       nan      nan      nan   3.10E+00
rup41_09  0.00944933  0.00921933  0.00961822  0.00963656  0.00915061  0.0100615   0.00134557  0.81  9.29232 9.28963 9.29304  9.29236 9.24341 9.35632 0.0839096 0.67  0.4422   0.455306 0.444542 0.448392 0.420153 0.461138 0.0217549  0.98  12.9232 12.9302 12.9364  12.9659 12.855  12.9812 0.0553708 0.93  2019.53 2275.86 1880.6   1669.07 1258.1  2719.66 819.372 0.9   0.28844  0.134912  0.267542 0.158258  0.0971825 0.474724 0.182044 0.96  3.10E+00
rup41_06  0.0034145   0.000737738 0.00198062  0.0011526   0.000833117 0.00580357  0.00325149  0.76  9.29498 9.36152 9.35116  9.39551 9.2231  9.41722 0.202667  0.6   0.452271 0.449462 0.453611 0.453669 0.431636 0.476787 0.0252838  0.92  12.9097 12.9931 12.9154  12.964  12.8369 12.977  0.0592551 0.94  2807.07 2789.82 2642.33  2595.84 1655.36 3783.07 1296.86 0.89  0.485063 0.411597  0.46038  0.387688  0.236913  0.751196 0.237026 0.98  3.10E+00
rup41_03  0.0131098   0.0101611   0.0115489   0.0114423   0.0101381   0.0163604   0.00538831  0.88  8.8494  8.97554 8.83191  8.80506 8.72515 8.97832 0.13534   0.96  0.357621 0.376277 0.356146 0.353479 0.310679 0.416656 0.0585101  0.97  12.8773 12.834  12.8661  12.8408 12.8223 12.9399 0.053409  0.94  2028.29 1389.7  1853.79  1645.15 1362.43 2654.55 766.88  0.88  0.664209 0.475658  0.679212 0.722823  0.502191  0.813136 0.14683  0.99  3.10E+00
rup41_07  0.00981239  0.0108927   0.010111    0.0105554   0.00717017  0.0125181   0.00241564  0.98  9.198   9.35714 9.30203  9.26098 9.18145 9.39594 0.314487  0.63  0.427549 0.410537 0.427113 0.422303 0.401704 0.456345 0.0290243  0.99  12.8991 12.8988 12.9001  12.9484 12.8289 12.9671 0.0586942 0.95  1259.28 1034.14 1237.54  1206.75 812.42  1678.82 418.339 0.98  0.0      0.0       0.0      0.0       nan       nan      nan      nan   3.10E+00
rup41_01  0.0156802   0.0129778   0.016253    0.0126703   0.0125362   0.018808    0.00310738  0.81  8.65768 8.7811  8.67194  8.80049 8.45646 8.82594 0.172274  0.92  0.463886 0.463927 0.469467 0.484716 0.434227 0.49172  0.0275727  0.93  12.862  12.8302 12.8517  12.8261 12.8139 12.9123 0.0472579 0.93  807.989 910.462 815.517  892.512 651.779 937.113 149.716 0.97  0.0      0.0       0.0      0.0       nan       nan      nan      nan   3.10E+00
rup41_05  0.00202137  0.000909083 0.000891245 0.000816527 0.000636321 0.00284679  0.00326412  0.49  9.35513 9.44092 9.43055  9.43627 9.2801  9.44313 0.171838  0.56  0.455212 0.456257 0.457783 0.458674 0.439942 0.473141 0.0227085  0.84  12.9062 12.953  12.9139  12.9633 12.8296 12.9751 0.0610925 0.93  2607.26 3322.26 2565.84  2508.69 1586.47 3403.0  949.201 0.98  0.3      0.3       0.3      0.3       nan       nan      nan      nan   3.10E+00
rup41_08  0.0063269   0.00543191  0.00571628  0.0054908   0.0047981   0.00873576  0.00211526  0.85  9.2818  9.35014 9.31748  9.34769 9.25913 9.36136 0.180121  0.49  0.460295 0.480805 0.462145 0.467513 0.443211 0.481447 0.0220565  0.95  12.8835 12.8275 12.8729  12.8345 12.8244 12.9563 0.0578437 0.93  1922.81 2026.71 1984.8   2048.04 1531.72 2206.21 400.773 0.97  0.3      0.3       0.3      0.3       nan       nan      nan      nan   3.10E+00
rup41_02  0.0162785   0.0154854   0.0156245   0.015613    0.0125545   0.0184812   0.00429938  0.84  8.7362  8.68558 8.76027  8.78485 8.67777 8.80257 0.092997  0.92  0.435395 0.494658 0.437958 0.485782 0.386166 0.491295 0.0523495  0.92  12.9367 12.9945 12.9568  12.9758 12.8668 12.9884 0.0571658 0.86  1331.8  1347.21 1318.37  1272.43 1077.07 1564.84 243.564 0.98  0.3      0.3       0.3      0.3       nan       nan      nan      nan   3.10E+00
rup42_09  0.0206276   0.0207233   0.0204848   0.0205082   0.0180092   0.0232033   0.0026144   0.91  9.23936 9.37649 9.37954  9.38066 9.23552 9.43196 0.439426  0.45  0.365218 0.35038  0.365897 0.387586 0.338787 0.392533 0.0238473  0.95  13.6088 13.6886 13.6131  13.6647 13.5382 13.6776 0.0601053 0.94  1831.12 1572.52 1572.52  1384.75 1018.66 2806.01 951.672 0.91  0.522709 0.448845  0.538732 0.553453  0.334479  0.712464 0.196363 0.99  3.10E+00
rup42_04  0.0253052   0.0192574   0.0281479   0.0286051   0.0200631   0.0288257   0.00380705  0.84  8.18395 8.30344 8.11438  8.16638 7.8537  8.30265 0.417269  0.72  0.391118 0.399988 0.394279 0.396145 0.384879 0.398241 0.0101964  0.72  13.6556 13.6423 13.6704  13.6855 13.6155 13.6921 0.0416124 0.86  769.575 848.771 749.246  570.359 540.652 992.898 224.235 0.93  0.0      0.0       0.0      0.0       nan       nan      nan      nan   3.10E+00
rup42_06  0.0242592   0.026455    0.0263227   0.026695    0.0205305   0.0269556   0.00340003  0.81  8.35384 8.22113 8.23538  8.20225 8.08976 8.37941 0.447268  0.68  0.390827 0.388122 0.394055 0.396679 0.384343 0.398456 0.010137   0.75  13.6457 13.6732 13.66    13.6748 13.5954 13.6867 0.045223  0.89  970.805 852.507 839.399  796.578 685.518 1208.69 463.693 0.7   0.154239 0.0495794 0.107844 0.0683347 0.0386701 0.263759 0.145315 0.82  3.10E+00
rup42_03  0.0081      0.00458413  0.00458218  0.00439128  0.00424507  0.0129075   0.00449092  0.75  8.93776 8.94997 8.94356  8.94828 8.89374 8.96339 0.0580312 0.82  0.359103 0.399797 0.383305 0.39025  0.311456 0.396145 0.0504101  0.74  13.6105 13.6223 13.6171  13.6599 13.5395 13.6755 0.058267  0.94  2351.27 3108.23 2321.46  2199.03 1466.92 3175.48 775.734 0.98  0.768922 0.902447  0.806083 0.883784  0.588906  0.920616 0.159921 0.91  3.10E+00
rup42_07  0.0193161   0.0195879   0.0192696   0.0193428   0.0175223   0.0196777   0.00227956  0.8   8.29521 7.9287  7.92896  7.92335 7.92503 9.35059 0.64856   0.77  0.392006 0.399459 0.396616 0.398603 0.388259 0.399249 0.0137737  0.55  13.6538 13.6749 13.6705  13.6771 13.6093 13.6889 0.0435874 0.82  636.35  640.116 627.462  631.068 484.231 775.888 154.68  0.96  0.0      0.0       0.0      0.0       nan       nan      nan      nan   3.10E+00
rup42_05  0.0190757   0.019633    0.0184513   0.0184582   0.0165416   0.0217097   0.00265037  0.87  8.5029  8.02764 8.29722  8.2353  8.02865 9.40584 0.539622  0.77  0.392174 0.397969 0.395262 0.397758 0.386247 0.398831 0.00987035 0.67  13.6421 13.6865 13.6522  13.6808 13.594  13.6887 0.0465023 0.92  1181.95 1168.69 1061.4   860.298 762.187 1650.25 458.701 0.88  0.3      0.3       0.3      0.3       nan       nan      nan      nan   3.10E+00
rup42_01  0.0210976   0.0193378   0.0221584   0.0226226   0.0191968   0.0228837   0.0019568   0.88  8.80842 8.84848 8.81117  8.84425 8.75926 8.85149 0.041892  0.97  0.376304 0.388448 0.378532 0.385512 0.363338 0.392362 0.017811   0.83  13.629  13.5765 13.6317  13.6741 13.5782 13.6818 0.0472562 0.96  804.314 897.83  773.208  745.035 677.915 956.814 150.18  0.98  0.0      0.0       0.0      0.0       nan       nan      nan      nan   3.10E+00
rup42_08  0.0195504   0.0180968   0.0183867   0.0179749   0.0173909   0.0229646   0.00299694  0.91  9.14239 9.32294 9.32464  9.4238  9.07041 9.43298 0.500943  0.61  0.377243 0.395309 0.386779 0.393273 0.35263  0.396911 0.0231771  0.84  13.6329 13.6871 13.6428  13.6705 13.5783 13.6833 0.0493916 0.94  1071.03 1457.83 1097.83  1264.02 658.363 1406.97 340.924 0.98  0.3      0.3       0.3      0.3       nan       nan      nan      nan   3.10E+00
rup42_02  0.0115874   0.00838521  0.00972424  0.00904184  0.00827675  0.0155416   0.0038226   0.86  8.88249 8.89036 8.88513  8.9059  8.80564 8.95143 0.0753491 0.97  0.375734 0.388215 0.384164 0.391838 0.357239 0.395935 0.0269978  0.74  13.6071 13.5816 13.6072  13.5934 13.5377 13.676  0.0579186 0.95  963.693 629.306 934.657  912.491 707.129 1204.5  225.768 0.99  0.3      0.3       0.3      0.3       nan       nan      nan      nan   3.10E+00
rup44_09  0.00319721  0.00241122  0.00255216  0.00244903  0.00220622  0.005388    0.00141075  0.78  7.14222 7.11813 7.11509  7.10241 7.08617 7.22977 0.0757639 0.79  0.677434 0.677937 0.676633 0.676525 0.657071 0.696345 0.0232728  0.96  13.2724 13.215  13.254   13.2305 13.2171 13.3428 0.0562721 0.91  2510.82 2554.29 2430.22  2365.31 2080.83 2926.69 523.391 0.89  0.403646 0.499045  0.4395   0.462162  0.212028  0.525997 0.149804 0.95  3.10E+00
rup44_04  0.00772244  0.008049    0.00775047  0.00783575  0.00737364  0.0080017   0.000374003 0.89  7.2164  7.1813  7.18498  7.18129 7.17866 7.25512 0.0616228 0.69  0.656492 0.659341 0.655815 0.6551   0.642417 0.670385 0.0156606  0.98  13.2812 13.2206 13.2773  13.2696 13.239  13.3236 0.0413797 0.98  1999.86 2136.96 1961.21  1914.48 1765.44 2235.83 255.147 0.97  0.0      0.0       0.0      0.0       nan       nan      nan      nan   3.10E+00
rup44_06  0.00574902  0.00951272  0.00630261  0.00667898  0.00255888  0.00918848  0.00271634  0.92  7.17164 7.22863 7.1813   7.21151 7.05822 7.24289 0.0944785 0.91  0.685898 0.646719 0.674298 0.658001 0.64226  0.737795 0.0452793  0.95  13.3228 13.3874 13.339   13.3744 13.2448 13.3863 0.0610227 0.91  3966.8  2716.26 3015.61  2822.73 2563.34 5872.31 2243.05 0.7   0.343159 0.113762  0.232138 0.159459  0.108107  0.660753 0.260386 0.88  3.10E+00
rup44_07  0.00525859  0.00533835  0.00534744  0.00535335  0.0048966   0.00568053  0.000590199 0.86  7.1649  7.17931 7.17679  7.17739 7.08555 7.18042 0.0694053 0.7   0.676424 0.686991 0.676851 0.677516 0.661248 0.690861 0.0170904  0.99  13.3101 13.3345 13.3161  13.3229 13.2647 13.3512 0.0440912 0.97  1343.87 1356.36 1329.99  1337.92 1193.67 1475.46 171.537 0.94  0.0      0.0       0.0      0.0       nan       nan      nan      nan   3.10E+00
rup44_03  0.0105916   0.015261    0.00984022  0.0096045   0.0056039   0.0154988   0.00416584  0.91  7.31499 7.22667 7.30251  7.32151 7.17831 7.37879 0.154659  0.8   0.751088 0.756902 0.750363 0.746821 0.724498 0.782116 0.0252675  0.98  13.2888 13.3095 13.2837  13.2655 13.2245 13.3564 0.056125  0.96  3534.19 3488.49 3463.4   3357.7  2952.49 4122.39 617.367 0.97  0.488824 0.404435  0.486955 0.482708  0.374351  0.605394 0.111015 1.0   3.10E+00
rup44_01  0.0148757   0.0122458   0.0129573   0.0125525   0.0122841   0.0158905   0.00451392  0.68  7.24009 7.04984 7.10514  7.07672 7.05005 7.4918  0.259779  0.76  0.772611 0.782634 0.776998 0.785553 0.751138 0.792259 0.0200217  0.93  13.3044 13.3672 13.313   13.3652 13.2258 13.3771 0.0633945 0.92  1674.98 1591.7  1626.32  1555.28 1357.89 2002.2  315.159 0.97  0.0      0.0       0.0      0.0       nan       nan      nan      nan   3.10E+00
rup44_05  0.0055435   0.00563727  0.00550748  0.00544445  0.00522678  0.00588618  0.000351115 0.81  7.19452 7.17541 7.18069  7.17792 7.16571 7.23124 0.0517843 0.86  0.67794  0.690847 0.676009 0.663329 0.653653 0.705486 0.0234653  0.98  13.3    13.3608 13.3002  13.3006 13.2427 13.3575 0.050917  0.98  3078.08 3185.49 3088.77  3116.85 2761.63 3400.29 305.066 0.99  0.3      0.3       0.3      0.3       nan       nan      nan      nan   3.10E+00
rup44_08  0.00399803  0.00326727  0.00350488  0.00333431  0.00319301  0.0045752   0.00117495  0.8   7.17083 7.14844 7.15569  7.14945 7.13954 7.20526 0.0503529 0.84  0.656008 0.65919  0.652727 0.652404 0.638552 0.670315 0.0214223  0.89  13.267  13.2064 13.2505  13.2292 13.2134 13.3289 0.0564266 0.88  2375.6  2429.75 2426.0   2440.97 1986.9  2672.46 306.342 0.98  0.3      0.3       0.3      0.3       nan       nan      nan      nan   3.10E+00
rup44_02  0.0105599   0.00700498  0.00708039  0.00656486  0.00633707  0.0155318   0.00468157  0.83  7.26094 7.17819 7.18416  7.1818  7.17692 7.36545 0.141315  0.77  0.76494  0.782777 0.770846 0.777575 0.739304 0.785384 0.0228693  0.92  13.2773 13.2076 13.2533  13.2206 13.2104 13.3717 0.0668384 0.87  2804.23 2697.04 2758.24  2690.33 2560.9  3100.76 289.141 0.98  0.3      0.3       0.3      0.3       nan       nan      nan      nan   3.10E+00
